dt,sku_id,warehouse_id,begin_on_hand_qty,begin_locked_qty,begin_available_qty,end_on_hand_qty,end_locked_qty,end_available_qty,defect_qty,in_transit_qty,max_onhand_qty,min_onhand_qty,avg_on_hand_qty,avg_available_qty,inventory_cost_amt,turnover_days,stock_age_days,etl_time
2026-07-01,1008,1,3507,309,3198,3507,309,3198,5,50,3847,3177,3507,3198,558417.6900,57,36,"2026-09-04 12:34:54"
2026-07-01,1008,2,10904,1156,9748,10904,1156,9748,4,41,11950,10137,10904,9748,239077.6300,64,21,"2026-09-04 12:34:54"
2026-07-01,1008,3,4220,421,3799,4220,421,3799,1,11,4621,3849,4220,3799,399784.8000,29,27,"2026-09-04 12:34:54"
2026-07-01,1009,1,6176,448,5728,6176,448,5728,3,43,6626,5842,6176,5728,939642.0400,32,117,"2026-09-04 12:34:54"
2026-07-01,1009,2,3886,493,3393,3886,493,3393,5,31,4188,3631,3886,3393,114700.5400,26,156,"2026-09-04 12:34:54"
2026-07-01,1009,3,1756,160,1596,1756,160,1596,5,7,1818,1651,1756,1596,209694.2900,28,67,"2026-09-04 12:34:54"
2026-07-01,1010,1,2349,173,2176,2349,173,2176,5,38,2474,2188,2349,2176,345464.0300,32,32,"2026-09-04 12:34:54"
2026-07-01,1010,2,1604,134,1470,1604,134,1470,5,30,1752,1545,1604,1470,132880.7800,35,48,"2026-09-04 12:34:54"
2026-07-01,1010,3,1339,106,1233,1339,106,1233,0,40,1373,1284,1339,1233,129387.8100,53,47,"2026-09-04 12:34:54"
2026-07-01,1011,1,1780,169,1611,1780,169,1611,3,23,1877,1632,1780,1611,293308.9500,33,49,"2026-09-04 12:34:54"
2026-07-01,1011,2,3225,334,2891,3225,334,2891,4,4,3412,3126,3225,2891,35417.3800,43,142,"2026-09-04 12:34:54"
2026-07-01,1011,3,642,39,603,642,39,603,0,16,667,599,642,603,29584.6000,24,102,"2026-09-04 12:34:54"
2026-07-01,1012,1,13629,1162,12467,13629,1162,12467,4,25,14037,12771,13629,12467,709904.4400,82,79,"2026-09-04 12:34:54"
2026-07-01,1012,2,6737,868,5869,6737,868,5869,5,33,6745,6615,6737,5869,414170.8200,30,60,"2026-09-04 12:34:54"
2026-07-01,1012,3,4194,224,3970,4194,224,3970,1,10,4501,4145,4194,3970,749045.6500,33,45,"2026-09-04 12:34:54"
2026-07-01,1013,1,7832,921,6911,7832,921,6911,2,22,7864,7208,7832,6911,473568.3900,42,150,"2026-09-04 12:34:54"
2026-07-01,1013,2,14163,1645,12518,14163,1645,12518,4,27,14204,13876,14163,12518,1234856.2600,84,20,"2026-09-04 12:34:54"
2026-07-01,1013,3,4351,243,4108,4351,243,4108,0,2,4540,4214,4351,4108,771512.4700,60,17,"2026-09-04 12:34:54"
2026-07-01,1014,1,18161,1267,16894,18161,1267,16894,5,21,19826,17326,18161,16894,3061170.4100,129,22,"2026-09-04 12:34:54"
2026-07-01,1014,2,2765,323,2442,2765,323,2442,3,47,2825,2724,2765,2442,305127.5900,74,83,"2026-09-04 12:34:54"
2026-07-01,1014,3,4765,413,4352,4765,413,4352,1,50,5082,4532,4765,4352,49959.8900,32,65,"2026-09-04 12:34:54"
2026-07-01,1015,1,8880,1094,7786,8880,1094,7786,2,45,9660,8421,8880,7786,1513388.8200,68,60,"2026-09-04 12:34:54"
2026-07-01,1015,2,14389,1773,12616,14389,1773,12616,3,49,15489,13427,14389,12616,2495033.8200,74,47,"2026-09-04 12:34:54"
2026-07-01,1015,3,1111,120,991,1111,120,991,4,27,1125,1040,1111,991,20286.4300,24,32,"2026-09-04 12:34:54"
2026-07-01,1016,1,1177,121,1056,1177,121,1056,1,2,1186,1170,1177,1056,52335.3500,32,139,"2026-09-04 12:34:54"
2026-07-01,1016,2,12894,719,12175,12894,719,12175,4,41,13464,11625,12894,12175,1757524.6000,86,4,"2026-09-04 12:34:54"
2026-07-01,1016,3,10401,882,9519,10401,882,9519,1,26,10467,10081,10401,9519,1373461.0500,58,102,"2026-09-04 12:34:54"
2026-07-01,1017,1,3230,174,3056,3230,174,3056,3,40,3339,3098,3230,3056,459253.6500,39,176,"2026-09-04 12:34:54"
2026-07-01,1017,2,13384,1482,11902,13384,1482,11902,1,26,13393,12832,13384,11902,151039.3700,80,49,"2026-09-04 12:34:54"
2026-07-01,1017,3,4593,546,4047,4593,546,4047,2,39,4649,4328,4593,4047,692183.0200,57,82,"2026-09-04 12:34:54"
2026-07-01,1018,1,5710,659,5051,5710,659,5051,0,34,5956,5601,5710,5051,822776.4300,46,140,"2026-09-04 12:34:54"
2026-07-01,1018,2,4623,227,4396,4623,227,4396,5,18,4817,4186,4623,4396,691909.5800,36,128,"2026-09-04 12:34:54"
2026-07-01,1018,3,5667,464,5203,5667,464,5203,4,26,5708,5151,5667,5203,563640.6200,54,14,"2026-09-04 12:34:54"
2026-07-01,1019,1,5714,608,5106,5714,608,5106,4,39,5731,5234,5714,5106,438183.8200,30,178,"2026-09-04 12:34:54"
2026-07-01,1019,2,2257,144,2113,2257,144,2113,5,40,2350,2132,2257,2113,53377.3200,64,152,"2026-09-04 12:34:54"
2026-07-01,1019,3,3153,383,2770,3153,383,2770,5,34,3295,3004,3153,2770,20234.7300,32,15,"2026-09-04 12:34:54"
2026-07-01,1020,1,7697,556,7141,7697,556,7141,5,15,8406,7037,7697,7141,514103.0000,43,28,"2026-09-04 12:34:54"
2026-07-01,1020,2,653,36,617,653,36,617,2,32,662,605,653,617,28282.7100,51,5,"2026-09-04 12:34:54"
2026-07-01,1020,3,8645,927,7718,8645,927,7718,4,4,8785,8537,8645,7718,48892.5600,44,18,"2026-09-04 12:34:54"
2026-07-01,1021,1,5370,690,4680,5370,690,4680,5,4,5529,5365,5370,4680,888829.8600,30,176,"2026-09-04 12:34:54"
2026-07-01,1021,2,6880,494,6386,6880,494,6386,0,47,7063,6348,6880,6386,795975.2100,34,120,"2026-09-04 12:34:54"
2026-07-01,1021,3,9451,1023,8428,9451,1023,8428,1,35,9666,8857,9451,8428,489453.5400,51,167,"2026-09-04 12:34:54"
2026-07-01,1022,1,6422,387,6035,6422,387,6035,0,30,6468,5911,6422,6035,647218.5100,34,65,"2026-09-04 12:34:54"
2026-07-01,1022,2,7155,546,6609,7155,546,6609,0,29,7210,6651,7155,6609,924998.3600,56,50,"2026-09-04 12:34:54"
2026-07-01,1022,3,4683,294,4389,4683,294,4389,4,23,4857,4577,4683,4389,667987.6800,33,151,"2026-09-04 12:34:54"
2026-07-01,1023,1,5959,771,5188,5959,771,5188,1,27,6255,5452,5959,5188,186834.7300,28,91,"2026-09-04 12:34:54"
2026-07-01,1023,2,1133,73,1060,1133,73,1060,3,20,1133,1083,1133,1060,20340.6000,25,1,"2026-09-04 12:34:54"
2026-07-01,1023,3,1017,91,926,1017,91,926,5,10,1043,1014,1017,926,150997.1600,57,34,"2026-09-04 12:34:54"
2026-07-01,1024,1,6118,529,5589,6118,529,5589,5,15,6181,5728,6118,5589,225150.0400,31,167,"2026-09-04 12:34:54"
2026-07-01,1024,2,3542,314,3228,3542,314,3228,3,42,3742,3498,3542,3228,381756.6000,73,101,"2026-09-04 12:34:54"
2026-07-01,1024,3,4972,566,4406,4972,566,4406,3,49,5047,4735,4972,4406,719791.7600,125,132,"2026-09-04 12:34:54"
2026-07-01,1025,1,4868,604,4264,4868,604,4264,4,11,5233,4864,4868,4264,334802.9400,41,176,"2026-09-04 12:34:54"
2026-07-01,1025,2,1528,179,1349,1528,179,1349,5,49,1561,1484,1528,1349,234362.6600,40,85,"2026-09-04 12:34:54"
2026-07-01,1025,3,1046,111,935,1046,111,935,2,24,1085,1011,1046,935,44199.4200,34,112,"2026-09-04 12:34:54"
2026-07-01,1026,1,322,22,300,322,22,300,0,5,353,293,322,300,11944.8200,30,121,"2026-09-04 12:34:54"
2026-07-01,1026,2,2373,133,2240,2373,133,2240,3,12,2513,2342,2373,2240,371562.1300,32,98,"2026-09-04 12:34:54"
2026-07-01,1026,3,1353,145,1208,1353,145,1208,5,9,1474,1311,1353,1208,39137.5500,46,78,"2026-09-04 12:34:54"
2026-07-01,1027,1,15608,1378,14230,15608,1378,14230,5,34,16800,14274,15608,14230,714635.8400,72,177,"2026-09-04 12:34:54"
2026-07-01,1027,2,6981,539,6442,6981,539,6442,2,3,7153,6929,6981,6442,724358.8500,54,39,"2026-09-04 12:34:54"
2026-07-01,1027,3,1284,162,1122,1284,162,1122,1,2,1390,1281,1284,1122,20249.2300,26,28,"2026-09-04 12:34:54"
2026-07-01,1028,1,10095,966,9129,10095,966,9129,2,12,10794,9928,10095,9129,329995.7300,55,173,"2026-09-04 12:34:54"
2026-07-01,1028,2,3961,396,3565,3961,396,3565,4,34,4151,3809,3961,3565,362105.4200,31,46,"2026-09-04 12:34:54"
2026-07-01,1028,3,6946,841,6105,6946,841,6105,5,23,7060,6507,6946,6105,1014303.6100,33,57,"2026-09-04 12:34:54"
2026-07-01,1029,1,1827,197,1630,1827,197,1630,2,2,1899,1797,1827,1630,33691.1700,65,79,"2026-09-04 12:34:54"
2026-07-01,1029,2,930,49,881,930,49,881,5,32,1003,881,930,881,15110.8900,38,116,"2026-09-04 12:34:54"
2026-07-01,1029,3,1043,113,930,1043,113,930,4,28,1116,1030,1043,930,52701.3600,25,31,"2026-09-04 12:34:54"
2026-07-01,1030,1,6061,755,5306,6061,755,5306,0,42,6382,6039,6061,5306,821850.5800,31,32,"2026-09-04 12:34:54"
2026-07-01,1030,2,7484,491,6993,7484,491,6993,0,46,7942,7039,7484,6993,1312839.8100,37,20,"2026-09-04 12:34:54"
2026-07-01,1030,3,1690,126,1564,1690,126,1564,2,1,1706,1660,1690,1564,209243.6800,34,176,"2026-09-04 12:34:54"
2026-07-01,1031,1,3836,365,3471,3836,365,3471,0,48,4037,3464,3836,3471,496098.1800,39,4,"2026-09-04 12:34:54"
2026-07-01,1031,2,3317,206,3111,3317,206,3111,0,31,3582,3158,3317,3111,281483.8500,39,80,"2026-09-04 12:34:54"
2026-07-01,1031,3,2675,323,2352,2675,323,2352,5,42,2810,2543,2675,2352,122526.4500,24,124,"2026-09-04 12:34:54"
2026-07-01,1032,1,7760,860,6900,7760,860,6900,3,9,8364,7063,7760,6900,120219.4000,42,180,"2026-09-04 12:34:54"
2026-07-01,1032,2,4424,314,4110,4424,314,4110,5,44,4583,4194,4424,4110,541883.9200,30,45,"2026-09-04 12:34:54"
2026-07-01,1032,3,5073,407,4666,5073,407,4666,0,36,5439,4792,5073,4666,732589.9700,46,77,"2026-09-04 12:34:54"
2026-07-01,1033,1,4692,234,4458,4692,234,4458,3,40,5082,4561,4692,4458,730561.0300,39,177,"2026-09-04 12:34:54"
2026-07-01,1033,2,11817,937,10880,11817,937,10880,5,40,12426,10969,11817,10880,566096.6900,85,69,"2026-09-04 12:34:54"
2026-07-01,1033,3,3780,398,3382,3780,398,3382,3,40,3789,3565,3780,3382,528209.1800,38,5,"2026-09-04 12:34:54"
2026-07-01,1034,1,4087,510,3577,4087,510,3577,5,22,4167,3679,4087,3577,521060.2500,36,40,"2026-09-04 12:34:54"
2026-07-01,1034,2,1069,137,932,1069,137,932,3,28,1149,1046,1069,932,69437.6600,32,57,"2026-09-04 12:34:54"
2026-07-01,1034,3,3369,425,2944,3369,425,2944,1,42,3434,3186,3369,2944,402879.5900,32,127,"2026-09-04 12:34:54"
2026-07-01,1035,1,827,59,768,827,59,768,0,14,894,804,827,768,144619.4900,32,96,"2026-09-04 12:34:54"
2026-07-01,1035,2,9102,763,8339,9102,763,8339,4,11,9931,8416,9102,8339,888856.7000,47,59,"2026-09-04 12:34:54"
2026-07-01,1035,3,19967,2227,17740,19967,2227,17740,4,48,20535,18139,19967,17740,2381206.5900,100,87,"2026-09-04 12:34:54"
2026-07-01,1036,1,8159,811,7348,8159,811,7348,2,49,8783,8043,8159,7348,766417.2800,38,61,"2026-09-04 12:34:54"
2026-07-01,1036,2,1614,114,1500,1614,114,1500,1,43,1767,1530,1614,1500,96529.5700,30,104,"2026-09-04 12:34:54"
2026-07-01,1036,3,4913,512,4401,4913,512,4401,4,4,4990,4780,4913,4401,619200.4400,46,48,"2026-09-04 12:34:54"
2026-07-01,1037,1,759,57,702,759,57,702,3,32,800,755,759,702,107244.0700,23,169,"2026-09-04 12:34:54"
2026-07-01,1037,2,3125,177,2948,3125,177,2948,5,30,3342,3114,3125,2948,89353.7500,95,128,"2026-09-04 12:34:54"
2026-07-01,1037,3,5043,586,4457,5043,586,4457,3,10,5389,4908,5043,4457,800534.6100,37,72,"2026-09-04 12:34:54"
2026-07-01,1038,1,3518,228,3290,3518,228,3290,4,8,3520,3476,3518,3290,402038.7600,55,77,"2026-09-04 12:34:54"
2026-07-01,1038,2,546,58,488,546,58,488,5,8,581,530,546,488,25881.2500,25,67,"2026-09-04 12:34:54"
2026-07-01,1038,3,2580,301,2279,2580,301,2279,3,0,2610,2387,2580,2279,173449.1100,43,94,"2026-09-04 12:34:54"
2026-07-01,1039,1,3146,294,2852,3146,294,2852,2,35,3287,2954,3146,2852,180205.4400,23,103,"2026-09-04 12:34:54"
2026-07-01,1039,2,3996,342,3654,3996,342,3654,4,12,4011,3671,3996,3654,165787.8100,44,27,"2026-09-04 12:34:54"
2026-07-01,1039,3,1212,102,1110,1212,102,1110,3,2,1311,1142,1212,1110,23834.0500,48,111,"2026-09-04 12:34:54"
2026-07-01,1040,1,3661,310,3351,3661,310,3351,2,47,3958,3521,3661,3351,325689.9300,42,169,"2026-09-04 12:34:54"
2026-07-01,1040,2,851,100,751,851,100,751,1,5,887,807,851,751,22821.0400,46,180,"2026-09-04 12:34:54"
2026-07-01,1040,3,5404,492,4912,5404,492,4912,1,17,5428,5315,5404,4912,155820.1000,53,26,"2026-09-04 12:34:54"
2026-07-01,1041,1,6881,715,6166,6881,715,6166,2,3,7342,6749,6881,6166,423124.6100,32,101,"2026-09-04 12:34:54"
2026-07-01,1041,2,4432,472,3960,4432,472,3960,3,44,4507,4332,4432,3960,580774.1300,24,4,"2026-09-04 12:34:54"
2026-07-01,1041,3,20035,1719,18316,20035,1719,18316,3,15,21226,18393,20035,18316,1006371.5300,108,104,"2026-09-04 12:34:54"
2026-07-01,1042,1,1261,154,1107,1261,154,1107,3,5,1381,1218,1261,1107,179804.3800,24,57,"2026-09-04 12:34:54"
2026-07-01,1042,2,3863,485,3378,3863,485,3378,5,6,3922,3644,3863,3378,549367.8000,23,101,"2026-09-04 12:34:54"
2026-07-01,1042,3,5734,731,5003,5734,731,5003,4,13,5823,5491,5734,5003,552483.1400,29,5,"2026-09-04 12:34:54"
2026-07-01,1043,1,5707,369,5338,5707,369,5338,3,27,5916,5668,5707,5338,901407.1200,31,131,"2026-09-04 12:34:54"
2026-07-01,1043,2,13765,969,12796,13765,969,12796,5,19,14351,13511,13765,12796,1298816.8600,99,63,"2026-09-04 12:34:54"
2026-07-01,1043,3,931,91,840,931,91,840,4,16,942,865,931,840,128409.2300,40,115,"2026-09-04 12:34:54"
2026-07-01,1044,1,11563,1329,10234,11563,1329,10234,2,13,11613,11267,11563,10234,821658.0400,58,58,"2026-09-04 12:34:54"
2026-07-01,1044,2,9600,942,8658,9600,942,8658,1,34,10130,9454,9600,8658,642857.3100,77,142,"2026-09-04 12:34:54"
2026-07-01,1044,3,3066,285,2781,3066,285,2781,2,16,3300,2973,3066,2781,461666.4200,35,84,"2026-09-04 12:34:54"
2026-07-01,1045,1,3188,354,2834,3188,354,2834,3,29,3378,3048,3188,2834,565069.8600,78,127,"2026-09-04 12:34:54"
2026-07-01,1045,2,11335,1361,9974,11335,1361,9974,5,39,11630,11279,11335,9974,1693111.6300,80,71,"2026-09-04 12:34:54"
2026-07-01,1045,3,7306,877,6429,7306,877,6429,2,26,7462,7078,7306,6429,131271.8200,56,70,"2026-09-04 12:34:54"
2026-07-01,1046,1,3264,368,2896,3264,368,2896,4,8,3485,3258,3264,2896,109964.1600,41,42,"2026-09-04 12:34:54"
2026-07-01,1046,2,3635,179,3456,3635,179,3456,3,26,3868,3493,3635,3456,466272.5900,32,29,"2026-09-04 12:34:54"
2026-07-01,1046,3,659,83,576,659,83,576,3,15,695,637,659,576,109180.6800,36,134,"2026-09-04 12:34:54"
2026-07-01,1047,1,13559,789,12770,13559,789,12770,0,25,13688,12790,13559,12770,1463914.8300,76,74,"2026-09-04 12:34:54"
2026-07-01,1047,2,2592,132,2460,2592,132,2460,3,25,2751,2410,2592,2460,240223.9100,20,160,"2026-09-04 12:34:54"
2026-07-01,1047,3,2787,241,2546,2787,241,2546,5,34,2958,2678,2787,2546,261907.8300,50,134,"2026-09-04 12:34:54"
2026-07-01,1048,1,7719,999,6720,7719,999,6720,4,43,8340,7155,7719,6720,334929.6500,49,31,"2026-09-04 12:34:54"
2026-07-01,1048,2,769,41,728,769,41,728,5,21,791,707,769,728,116969.0000,28,170,"2026-09-04 12:34:54"
2026-07-01,1048,3,15359,1462,13897,15359,1462,13897,1,14,16797,14478,15359,13897,402423.8900,79,114,"2026-09-04 12:34:54"
2026-07-01,1049,1,2668,311,2357,2668,311,2357,2,16,2857,2537,2668,2357,30816.0900,54,175,"2026-09-04 12:34:54"
2026-07-01,1049,2,3778,337,3441,3778,337,3441,4,13,4069,3695,3778,3441,356583.7900,51,75,"2026-09-04 12:34:54"
2026-07-01,1049,3,4501,372,4129,4501,372,4129,3,15,4775,4343,4501,4129,738483.8300,47,157,"2026-09-04 12:34:54"
2026-07-01,1050,1,8338,966,7372,8338,966,7372,4,13,8860,7961,8338,7372,319474.7300,38,76,"2026-09-04 12:34:54"
2026-07-01,1050,2,6937,793,6144,6937,793,6144,0,43,7514,6706,6937,6144,631192.5200,39,60,"2026-09-04 12:34:54"
2026-07-01,1050,3,2413,153,2260,2413,153,2260,5,49,2607,2372,2413,2260,96399.4800,20,169,"2026-09-04 12:34:54"
2026-07-02,1001,1,8547,810,7737,8547,810,7737,4,5,8821,8286,8547,7737,655191.1600,45,14,"2026-09-04 12:34:54"
2026-07-02,1001,2,8623,614,8009,8623,614,8009,4,30,9075,8327,8623,8009,524001.4200,67,131,"2026-09-04 12:34:54"
2026-07-02,1001,3,8074,869,7205,8074,869,7205,5,41,8355,7492,8074,7205,1312975.2700,40,178,"2026-09-04 12:34:54"
2026-07-02,1002,1,10607,1362,9245,10607,1362,9245,3,27,11072,9940,10607,9245,1793194.3300,74,171,"2026-09-04 12:34:54"
2026-07-02,1002,2,6247,740,5507,6247,740,5507,1,47,6576,5931,6247,5507,95249.1800,41,6,"2026-09-04 12:34:54"
2026-07-02,1002,3,2372,305,2067,2372,305,2067,0,7,2471,2272,2372,2067,164122.2100,68,95,"2026-09-04 12:34:54"
2026-07-02,1003,1,3394,319,3075,3394,319,3075,3,31,3531,3066,3394,3075,50438.8000,23,106,"2026-09-04 12:34:54"
2026-07-02,1003,2,10577,825,9752,10577,825,9752,0,43,11165,10125,10577,9752,1354599.5700,62,26,"2026-09-04 12:34:54"
2026-07-02,1003,3,6221,707,5514,6221,707,5514,0,1,6459,6045,6221,5514,271088.3600,37,55,"2026-09-04 12:34:54"
2026-07-02,1004,1,19504,1498,18006,19504,1498,18006,5,5,20475,17988,19504,18006,3326395.8900,98,134,"2026-09-04 12:34:54"
2026-07-02,1004,2,5891,400,5491,5891,400,5491,0,39,6387,5867,5891,5491,1019979.4300,34,11,"2026-09-04 12:34:54"
2026-07-02,1004,3,4000,294,3706,4000,294,3706,0,2,4055,3795,4000,3706,118494.2500,39,4,"2026-09-04 12:34:54"
2026-07-02,1005,1,4923,529,4394,4923,529,4394,3,20,5264,4735,4923,4394,810044.2600,33,177,"2026-09-04 12:34:54"
2026-07-02,1005,2,2585,215,2370,2585,215,2370,5,27,2632,2349,2585,2370,37997.5000,38,104,"2026-09-04 12:34:54"
2026-07-02,1005,3,10272,1250,9022,10272,1250,9022,4,33,10512,9468,10272,9022,634738.9000,47,16,"2026-09-04 12:34:54"
2026-07-02,1006,1,9276,679,8597,9276,679,8597,5,29,9529,8457,9276,8597,436075.1600,54,169,"2026-09-04 12:34:54"
2026-07-02,1006,2,3739,196,3543,3739,196,3543,5,49,3822,3640,3739,3543,677999.3600,20,19,"2026-09-04 12:34:54"
2026-07-02,1006,3,9962,1191,8771,9962,1191,8771,4,48,10535,9076,9962,8771,1352341.7700,60,134,"2026-09-04 12:34:54"
2026-07-02,1007,1,7291,772,6519,7291,772,6519,2,5,7444,6933,7291,6519,73335.4300,54,75,"2026-09-04 12:34:54"
2026-07-02,1007,2,8081,739,7342,8081,739,7342,2,14,8315,7723,8081,7342,818887.6400,43,22,"2026-09-04 12:34:54"
2026-07-02,1007,3,4373,243,4130,4373,243,4130,3,35,4445,4227,4373,4130,454137.5200,50,20,"2026-09-04 12:34:54"
2026-07-02,1008,1,3106,358,2748,3106,358,2748,2,38,3243,2923,3106,2748,280038.3200,49,48,"2026-09-04 12:34:54"
2026-07-02,1008,2,9832,581,9251,9832,581,9251,0,22,10693,9089,9832,9251,1045053.5100,60,134,"2026-09-04 12:34:54"
2026-07-02,1008,3,4114,339,3775,4114,339,3775,0,13,4441,3834,4114,3775,413827.6600,28,56,"2026-09-04 12:34:54"
2026-07-02,1009,1,6149,461,5688,6149,461,5688,3,25,6492,5810,6149,5688,883279.9800,31,67,"2026-09-04 12:34:54"
2026-07-02,1009,2,3768,422,3346,3768,422,3346,1,22,3791,3423,3768,3346,103581.4700,26,147,"2026-09-04 12:34:54"
2026-07-02,1009,3,1689,108,1581,1689,108,1581,3,3,1752,1668,1689,1581,29226.2300,27,25,"2026-09-04 12:34:54"
2026-07-02,1010,1,2459,304,2155,2459,304,2155,2,10,2555,2289,2459,2155,70388.2300,31,114,"2026-09-04 12:34:54"
2026-07-02,1010,2,1612,154,1458,1612,154,1458,3,8,1728,1453,1612,1458,55663.0100,34,151,"2026-09-04 12:34:54"
2026-07-02,1010,3,1447,162,1285,1447,162,1285,3,17,1492,1367,1447,1285,99924.2000,55,90,"2026-09-04 12:34:54"
2026-07-02,1011,1,1790,225,1565,1790,225,1565,2,35,1876,1622,1790,1565,77718.7500,32,43,"2026-09-04 12:34:54"
2026-07-02,1011,2,3258,190,3068,3258,190,3068,3,22,3388,2961,3258,3068,21734.1100,45,10,"2026-09-04 12:34:54"
2026-07-02,1011,3,671,77,594,671,77,594,4,38,707,654,671,594,81079.9500,23,25,"2026-09-04 12:34:54"
2026-07-02,1012,1,13333,635,12698,13333,635,12698,3,33,14606,12788,13333,12698,805900.0500,84,88,"2026-09-04 12:34:54"
2026-07-02,1012,2,6925,723,6202,6925,723,6202,2,33,7119,6518,6925,6202,1077531.4600,32,10,"2026-09-04 12:34:54"
2026-07-02,1012,3,4195,282,3913,4195,282,3913,3,34,4452,4176,4195,3913,53322.0500,33,138,"2026-09-04 12:34:54"
2026-07-02,1013,1,7194,712,6482,7194,712,6482,3,14,7257,6952,7194,6482,224305.9000,40,52,"2026-09-04 12:34:54"
2026-07-02,1013,2,14549,1791,12758,14549,1791,12758,1,31,15797,14210,14549,12758,1016965.9000,86,120,"2026-09-04 12:34:54"
2026-07-02,1013,3,4388,425,3963,4388,425,3963,5,32,4764,4297,4388,3963,90575.0100,58,157,"2026-09-04 12:34:54"
2026-07-02,1014,1,18382,1229,17153,18382,1229,17153,2,12,18659,17220,18382,17153,2601233.5500,131,9,"2026-09-04 12:34:54"
2026-07-02,1014,2,2788,325,2463,2788,325,2463,2,1,2946,2729,2788,2463,158408.7500,74,114,"2026-09-04 12:34:54"
2026-07-02,1014,3,4687,375,4312,4687,375,4312,2,44,4840,4576,4687,4312,770456.6200,31,173,"2026-09-04 12:34:54"
2026-07-02,1015,1,8735,1078,7657,8735,1078,7657,4,46,8847,8160,8735,7657,1084450.8700,67,143,"2026-09-04 12:34:54"
2026-07-02,1015,2,14379,1181,13198,14379,1181,13198,0,12,15193,13788,14379,13198,699829.9600,77,3,"2026-09-04 12:34:54"
2026-07-02,1015,3,1116,138,978,1116,138,978,3,6,1176,1019,1116,978,79366.1000,23,35,"2026-09-04 12:34:54"
2026-07-02,1016,1,1201,156,1045,1201,156,1045,1,40,1252,1197,1201,1045,201197.2500,31,102,"2026-09-04 12:34:54"
2026-07-02,1016,2,12927,922,12005,12927,922,12005,3,41,13484,11691,12927,12005,844807.8000,85,61,"2026-09-04 12:34:54"
2026-07-02,1016,3,10222,725,9497,10222,725,9497,2,23,10680,10111,10222,9497,170721.9200,58,12,"2026-09-04 12:34:54"
2026-07-02,1017,1,3161,150,3011,3161,150,3011,1,41,3287,2913,3161,3011,473983.0500,38,111,"2026-09-04 12:34:54"
