sku_id,sku_name,sku_code,brand_id,category_l1_id,category_l2_id,category_l3_id,spec,unit,unit_cost,supplier_id,shelf_life_days,is_perishable,sku_status,created_time,updated_time,etl_time,dt
1016,红牛维生素饮料250ml*24罐,1016,4,1,10101,1010102,250ml*24盒,包,16.30,5,110,1,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1017,脉动维生素饮料600ml*15瓶,1017,4,1,10101,1010101,5L*4桶,桶,189.64,2,301,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1018,元气森林气泡水480ml*15瓶,1018,5,2,10201,1020101,5L*4桶,瓶,82.80,3,478,0,2,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1019,三只松鼠坚果750g*10袋,1019,4,1,10101,1010101,500ml*12瓶,瓶,9.10,5,265,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1020,良品铺子猪肉脯200g*20袋,1020,1,1,10101,1010101,500ml*12瓶,箱,172.63,1,556,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1021,金龙鱼食用油5L*4桶,1021,4,1,10101,1010201,2kg*6袋,桶,52.38,4,446,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1022,福临门大米5kg*10袋,1022,1,3,10302,1030201,100g*24包,桶,96.07,1,719,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1023,心相印抽纸3层*24包,1023,1,1,10102,1010201,250ml*24盒,箱,53.49,2,579,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1024,维达卷纸4层*27卷,1024,4,1,10102,1010102,1L*6瓶,箱,91.41,5,130,1,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1025,雕牌洗洁精1.5kg*6瓶,1025,5,1,10101,1010101,1L*6瓶,桶,99.70,2,440,0,2,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1026,汰渍洗衣粉2kg*6袋,1026,2,2,10201,1020201,250ml*24盒,桶,60.62,5,707,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1027,奥妙洗衣液2kg*6瓶,1027,2,1,10102,1010101,500ml*12瓶,箱,150.86,1,81,1,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1028,舒客牙膏120g*12支,1028,5,3,10301,1030101,2kg*6袋,箱,171.01,1,639,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1029,云南白药牙膏180g*6支,1029,2,2,10201,1020101,2kg*6袋,箱,125.78,4,703,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1030,百雀羚面霜50g*12瓶,1030,5,2,10202,1020101,5L*4桶,瓶,51.54,4,164,1,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1031,达利园软面包360g*12袋,1031,3,2,10202,1020101,500ml*12瓶,桶,126.13,5,132,1,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1032,好吃点饼干108g*24盒,1032,2,3,10302,1030101,250ml*24盒,箱,176.46,3,321,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1033,旺旺雪饼520g*12袋,1033,5,3,10302,1030101,5L*4桶,瓶,186.69,1,167,1,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1034,盼盼小面包400g*10袋,1034,1,3,10301,1030201,250ml*24盒,包,144.93,2,679,0,2,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1035,清风抽纸3层*24包,1035,5,2,10202,1020101,500ml*12瓶,桶,166.72,1,33,1,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1036,洁柔卷纸4层*27卷,1036,2,3,10302,1030101,5L*4桶,桶,112.58,4,604,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1037,威猛先生洁厕液500ml*12瓶,1037,1,3,10301,1030101,250ml*24盒,包,88.81,1,345,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1038,绿伞洗衣液2kg*6瓶,1038,1,2,10201,1020101,5L*4桶,箱,73.97,5,446,0,0,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1039,白猫洗洁精1.5kg*6瓶,1039,2,1,10101,1010101,100g*24包,箱,39.98,3,451,0,2,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1040,六神花露水195ml*12瓶,1040,2,2,10201,1020101,100g*24包,箱,172.43,2,234,0,2,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1041,大宝SOD蜜100ml*12瓶,1041,4,2,10202,1020101,1L*6瓶,箱,133.71,4,366,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1042,郁美净儿童霜25g*12盒,1042,1,2,10202,1020201,5L*4桶,瓶,188.15,1,297,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1043,海天酱油500ml*12瓶,1043,3,1,10101,1010201,100g*24包,瓶,147.07,3,476,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1044,李锦记蚝油700g*12瓶,1044,5,1,10102,1010201,1L*6瓶,瓶,13.66,4,31,1,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1045,老干妈辣椒酱210g*24瓶,1045,5,3,10301,1030201,100g*24包,箱,190.03,3,668,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1046,太太乐鸡精200g*20袋,1046,1,3,10302,1030201,5L*4桶,桶,68.61,3,597,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1047,恒顺香醋500ml*12瓶,1047,4,3,10302,1030101,2kg*6袋,瓶,84.18,1,341,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1048,厨邦酱油410ml*12瓶,1048,4,3,10302,1030201,100g*24包,桶,136.75,5,514,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1049,鲁花花生油5L*4桶,1049,2,3,10301,1030201,2kg*6袋,瓶,23.21,2,718,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1050,西王玉米油5L*4桶,1050,2,1,10101,1010101,1L*6瓶,桶,124.20,1,496,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
