sku_id,warehouse_id,lead_time_days,review_cycle_days,safety_stock_qty,target_days_of_supply,min_order_qty,max_order_qty,max_stock_qty,rounding_qty,target_stock_qty,lead_time_buffer_days,service_level,demand_days,avg_daily_sales_qty,replenishment_model,reorder_point_qty,forecast_version,health_days_low,health_days_high,is_active,effective_start_date,effective_end_date,etl_time
1004,2,12,30,483,32,74,777,7522,12,5152,2,0.9045,30,161.0000,ROP,2415,v1,7.00,32.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1004,3,6,14,465,40,68,1069,5303,12,3720,4,0.9227,30,93.0000,MIN-MAX,1023,v1,7.00,40.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1005,1,3,30,910,31,64,959,5622,12,4030,1,0.9679,30,130.0000,MIN-MAX,1300,v1,7.00,31.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1005,2,3,30,244,37,36,1469,3161,12,2257,5,0.9853,30,61.0000,ROP,427,v1,7.00,37.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1005,3,7,14,756,49,97,1971,11431,12,9261,2,0.9868,30,189.0000,MIN-MAX,2079,v1,7.00,49.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1006,1,3,14,1106,51,68,1312,11945,12,8058,2,0.9068,30,158.0000,PERIODIC,1580,v1,7.00,51.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1006,2,6,7,850,57,96,747,13942,12,9690,5,0.9704,30,170.0000,ROP,1870,v1,7.00,57.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1006,3,9,30,730,32,84,1826,6084,12,4672,4,0.9740,30,146.0000,MIN-MAX,2044,v1,7.00,32.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1007,1,8,30,720,52,39,1391,7817,12,6240,5,0.9869,30,120.0000,ROP,1680,v1,7.00,52.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1007,2,15,30,1002,44,75,1997,10123,12,7348,3,0.9767,30,167.0000,MIN-MAX,3507,v1,7.00,44.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1007,3,10,7,486,48,98,1868,5107,12,3888,1,0.9445,30,81.0000,ROP,1296,v1,7.00,48.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1008,1,10,7,280,55,53,1197,3954,12,3080,5,0.9631,30,56.0000,ROP,840,v1,7.00,55.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1008,2,3,30,608,32,50,1974,6429,12,4864,5,0.9682,30,152.0000,PERIODIC,1064,v1,7.00,32.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1008,3,13,30,786,44,22,690,7425,12,5764,4,0.9623,30,131.0000,ROP,2489,v1,7.00,44.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1009,1,12,14,1074,47,87,1204,11169,12,8413,5,0.9298,30,179.0000,PERIODIC,3222,v1,7.00,47.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1009,2,7,14,630,37,35,1977,5863,12,4662,1,0.9669,30,126.0000,PERIODIC,1512,v1,7.00,37.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1009,3,6,7,342,38,95,1574,2986,12,2166,1,0.9749,30,57.0000,ROP,684,v1,7.00,38.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1010,1,8,7,340,30,88,759,2615,12,2040,1,0.9498,30,68.0000,PERIODIC,884,v1,7.00,30.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1010,2,13,14,126,57,21,1675,3077,12,2394,4,0.9396,30,42.0000,MIN-MAX,672,v1,7.00,57.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1010,3,7,14,69,56,28,1320,1735,12,1288,5,0.9567,30,23.0000,MIN-MAX,230,v1,7.00,56.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1011,1,5,30,240,32,51,742,2100,12,1536,4,0.9546,30,48.0000,PERIODIC,480,v1,7.00,32.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1011,2,15,30,402,44,76,1108,4298,12,2948,4,0.9275,30,67.0000,PERIODIC,1407,v1,7.00,44.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1011,3,12,30,75,60,46,1781,1894,12,1500,1,0.9141,30,25.0000,MIN-MAX,375,v1,7.00,60.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1012,1,4,7,453,43,77,1911,8948,12,6493,3,0.9029,30,151.0000,ROP,1057,v1,7.00,43.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1012,2,7,30,1140,32,49,1041,8732,12,6080,5,0.9595,30,190.0000,MIN-MAX,2470,v1,7.00,32.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1012,3,4,30,472,50,39,1044,8543,12,5900,1,0.9054,30,118.0000,ROP,944,v1,7.00,50.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1013,1,14,30,810,44,35,1459,10026,12,7128,4,0.9848,30,162.0000,PERIODIC,3078,v1,7.00,44.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1013,2,10,14,444,49,25,1384,10300,12,7252,5,0.9225,30,148.0000,MIN-MAX,1924,v1,7.00,49.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1013,3,13,30,476,60,22,1876,5901,12,4080,5,0.9036,30,68.0000,MIN-MAX,1360,v1,7.00,60.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1014,1,11,30,780,59,55,871,11497,12,7670,4,0.9571,30,130.0000,ROP,2210,v1,7.00,59.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1014,2,10,14,198,40,61,1872,1625,12,1320,2,0.9297,30,33.0000,PERIODIC,528,v1,7.00,40.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1014,3,7,30,816,56,90,575,10178,12,7616,3,0.9227,30,136.0000,MIN-MAX,1768,v1,7.00,56.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1015,1,11,7,791,44,72,611,6246,12,4972,3,0.9560,30,113.0000,ROP,2034,v1,7.00,44.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1015,2,10,7,680,38,90,768,9549,12,6460,4,0.9793,30,170.0000,ROP,2380,v1,7.00,38.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1015,3,3,30,287,55,50,1953,2813,12,2255,5,0.9012,30,41.0000,ROP,410,v1,7.00,55.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1016,1,6,7,198,60,35,1826,2870,12,1980,4,0.9839,30,33.0000,ROP,396,v1,7.00,60.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1016,2,14,14,840,56,81,1467,9981,12,7840,5,0.9130,30,140.0000,MIN-MAX,2800,v1,7.00,56.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1016,3,11,30,652,57,28,1065,13302,12,9291,4,0.9306,30,163.0000,PERIODIC,2445,v1,7.00,57.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1017,1,3,14,390,56,95,1687,6550,12,4368,4,0.9779,30,78.0000,ROP,624,v1,7.00,56.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1017,2,10,14,735,47,89,1272,9234,12,6909,3,0.9783,30,147.0000,PERIODIC,2205,v1,7.00,47.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1017,3,12,14,284,57,72,589,5242,12,4047,4,0.9635,30,71.0000,ROP,1136,v1,7.00,57.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1018,1,13,30,432,45,24,758,6564,12,4860,5,0.9299,30,108.0000,MIN-MAX,1836,v1,7.00,45.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1018,2,4,30,732,30,38,1339,5348,12,3660,2,0.9067,30,122.0000,ROP,1220,v1,7.00,30.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1018,3,12,30,576,50,30,1172,6987,12,4800,5,0.9342,30,96.0000,ROP,1728,v1,7.00,50.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1019,1,14,14,1190,31,99,640,6695,12,5270,3,0.9898,30,170.0000,PERIODIC,3570,v1,7.00,31.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1019,2,9,7,99,44,41,1921,1872,12,1452,1,0.9041,30,33.0000,MIN-MAX,396,v1,7.00,44.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1019,3,8,14,510,34,51,1587,3825,12,2890,2,0.9153,30,85.0000,MIN-MAX,1190,v1,7.00,34.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1020,1,9,30,664,45,94,793,9484,12,7470,3,0.9414,30,166.0000,PERIODIC,2158,v1,7.00,45.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1020,2,15,14,60,51,89,823,747,12,612,3,0.9889,30,12.0000,ROP,240,v1,7.00,51.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1020,3,9,30,865,44,58,907,11416,12,7612,4,0.9096,30,173.0000,ROP,2422,v1,7.00,44.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1021,1,8,30,780,52,57,544,12114,12,8112,4,0.9247,30,156.0000,PERIODIC,2028,v1,7.00,52.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1021,2,15,30,555,59,97,1517,15825,12,10915,3,0.9698,30,185.0000,MIN-MAX,3330,v1,7.00,59.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1021,3,15,14,660,50,44,1771,10520,12,8250,2,0.9565,30,165.0000,PERIODIC,3135,v1,7.00,50.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1022,1,3,14,1050,31,94,1247,7701,12,5425,1,0.9819,30,175.0000,ROP,1575,v1,7.00,31.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1022,2,5,7,464,55,89,1249,8672,12,6380,3,0.9747,30,116.0000,ROP,1044,v1,7.00,55.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1022,3,15,14,665,55,34,1459,10891,12,7315,2,0.9679,30,133.0000,MIN-MAX,2660,v1,7.00,55.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1023,1,14,30,1098,60,91,1249,13473,12,10980,4,0.9013,30,183.0000,PERIODIC,3660,v1,7.00,60.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1023,2,10,14,205,48,68,1807,2916,12,1968,1,0.9607,30,41.0000,ROP,615,v1,7.00,48.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1023,3,12,30,80,59,98,953,1316,12,944,4,0.9818,30,16.0000,ROP,272,v1,7.00,59.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1024,1,9,7,704,31,24,1123,8177,12,5456,1,0.9087,30,176.0000,PERIODIC,2288,v1,7.00,31.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1024,2,9,14,220,51,89,1358,3088,12,2244,2,0.9797,30,44.0000,PERIODIC,616,v1,7.00,51.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1024,3,10,30,210,60,55,567,2954,12,2100,2,0.9399,30,35.0000,MIN-MAX,560,v1,7.00,60.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1025,1,4,30,510,47,65,624,6325,12,4794,2,0.9871,30,102.0000,ROP,918,v1,7.00,47.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1025,2,13,7,231,30,26,1183,1260,12,990,2,0.9708,30,33.0000,MIN-MAX,660,v1,7.00,30.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1025,3,15,30,108,48,47,977,1682,12,1296,2,0.9710,30,27.0000,PERIODIC,513,v1,7.00,48.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1026,1,7,7,40,47,52,857,579,12,470,1,0.9119,30,10.0000,ROP,110,v1,7.00,47.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1026,2,12,14,210,35,53,607,3033,12,2450,4,0.9473,30,70.0000,PERIODIC,1050,v1,7.00,35.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1026,3,10,14,130,46,95,723,1597,12,1196,2,0.9851,30,26.0000,MIN-MAX,390,v1,7.00,46.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1027,1,15,30,1372,39,78,1817,11383,12,7644,1,0.9899,30,196.0000,ROP,4312,v1,7.00,39.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1027,2,13,7,714,52,76,650,9094,12,6188,3,0.9547,30,119.0000,MIN-MAX,2261,v1,7.00,52.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1027,3,7,30,294,47,61,1280,2957,12,1974,5,0.9265,30,42.0000,PERIODIC,588,v1,7.00,47.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1028,1,9,7,492,57,90,1976,13644,12,9348,4,0.9406,30,164.0000,MIN-MAX,1968,v1,7.00,57.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1028,2,8,14,690,43,32,1140,6567,12,4945,3,0.9337,30,115.0000,MIN-MAX,1610,v1,7.00,43.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1028,3,10,7,555,56,30,690,13774,12,10360,3,0.9731,30,185.0000,PERIODIC,2405,v1,7.00,56.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1029,1,12,30,175,40,35,1341,1306,12,1000,4,0.9781,30,25.0000,PERIODIC,475,v1,7.00,40.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1029,2,7,30,115,41,33,1683,1275,12,943,2,0.9591,30,23.0000,MIN-MAX,276,v1,7.00,41.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1029,3,8,30,185,33,55,1675,1548,12,1221,4,0.9761,30,37.0000,PERIODIC,481,v1,7.00,33.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1030,1,13,30,1169,30,97,1847,7258,12,5010,3,0.9026,30,167.0000,ROP,3340,v1,7.00,30.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1030,2,15,14,945,41,20,871,11320,12,7749,5,0.9592,30,189.0000,MIN-MAX,3780,v1,7.00,41.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1030,3,14,30,138,32,87,940,1932,12,1472,4,0.9307,30,46.0000,ROP,782,v1,7.00,32.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1031,1,14,14,623,49,30,607,5436,12,4361,5,0.9045,30,89.0000,MIN-MAX,1869,v1,7.00,49.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1031,2,10,30,474,45,97,1405,4707,12,3555,2,0.9679,30,79.0000,MIN-MAX,1264,v1,7.00,45.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1031,3,9,7,490,51,95,1496,6787,12,4998,3,0.9041,30,98.0000,ROP,1372,v1,7.00,51.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1032,1,3,7,652,39,47,781,9085,12,6357,3,0.9295,30,163.0000,MIN-MAX,1141,v1,7.00,39.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1032,2,14,14,548,34,68,1590,6572,12,4658,5,0.9503,30,137.0000,PERIODIC,2466,v1,7.00,34.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1032,3,4,14,300,43,22,1441,6348,12,4300,3,0.9518,30,100.0000,PERIODIC,700,v1,7.00,43.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1033,1,14,30,678,39,34,1329,5315,12,4407,3,0.9155,30,113.0000,PERIODIC,2260,v1,7.00,39.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1033,2,14,14,381,43,33,998,7266,12,5461,4,0.9472,30,127.0000,ROP,2159,v1,7.00,43.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1033,3,14,14,356,40,41,656,4817,12,3560,1,0.9478,30,89.0000,MIN-MAX,1602,v1,7.00,40.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1034,1,8,30,396,37,33,799,4676,12,3663,2,0.9542,30,99.0000,PERIODIC,1188,v1,7.00,37.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1034,2,5,30,174,44,92,1686,1703,12,1276,5,0.9579,30,29.0000,PERIODIC,319,v1,7.00,44.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1034,3,13,14,368,44,28,1460,5394,12,4048,3,0.9717,30,92.0000,PERIODIC,1564,v1,7.00,44.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1035,1,8,30,72,39,79,1425,1133,12,936,3,0.9749,30,24.0000,MIN-MAX,264,v1,7.00,39.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1035,2,4,30,1225,46,69,1447,11061,12,8050,1,0.9405,30,175.0000,PERIODIC,1925,v1,7.00,46.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1035,3,6,14,1232,45,84,808,11779,12,7920,4,0.9093,30,176.0000,ROP,2288,v1,7.00,45.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1036,1,4,30,768,31,51,1949,7924,12,5952,4,0.9472,30,192.0000,PERIODIC,1536,v1,7.00,31.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1036,2,8,14,250,42,72,1192,2947,12,2100,1,0.9710,30,50.0000,PERIODIC,650,v1,7.00,42.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1036,3,4,14,285,47,69,1081,5695,12,4465,5,0.9786,30,95.0000,ROP,665,v1,7.00,47.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1037,1,12,30,120,59,64,1135,2637,12,1770,4,0.9116,30,30.0000,PERIODIC,480,v1,7.00,59.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1037,2,7,30,186,50,62,761,2171,12,1550,5,0.9084,30,31.0000,PERIODIC,403,v1,7.00,50.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1037,3,11,14,354,41,59,869,7186,12,4838,3,0.9853,30,118.0000,ROP,1652,v1,7.00,41.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1038,1,6,7,236,32,57,707,2553,12,1888,5,0.9752,30,59.0000,PERIODIC,590,v1,7.00,32.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1038,2,13,14,133,34,96,1271,805,12,646,2,0.9748,30,19.0000,PERIODIC,380,v1,7.00,34.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1038,3,14,14,156,43,66,1885,3165,12,2236,4,0.9550,30,52.0000,PERIODIC,884,v1,7.00,43.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1039,1,6,30,496,39,80,897,6336,12,4836,5,0.9886,30,124.0000,ROP,1240,v1,7.00,39.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1039,2,15,14,574,46,73,831,5450,12,3772,5,0.9125,30,82.0000,ROP,1804,v1,7.00,46.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1039,3,13,14,115,47,33,1956,1571,12,1081,1,0.9257,30,23.0000,MIN-MAX,414,v1,7.00,47.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1040,1,10,30,316,56,75,687,6564,12,4424,2,0.9735,30,79.0000,ROP,1106,v1,7.00,56.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1040,2,9,7,96,46,67,982,968,12,736,1,0.9337,30,16.0000,MIN-MAX,240,v1,7.00,46.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1040,3,4,30,455,55,38,781,6063,12,5005,4,0.9626,30,91.0000,MIN-MAX,819,v1,7.00,55.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1041,1,10,14,1330,30,30,538,7277,12,5700,2,0.9494,30,190.0000,PERIODIC,3230,v1,7.00,30.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1041,2,11,14,495,54,56,986,11496,12,8910,1,0.9215,30,165.0000,PERIODIC,2310,v1,7.00,54.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1041,3,10,7,507,56,83,1722,12878,12,9464,5,0.9518,30,169.0000,PERIODIC,2197,v1,7.00,56.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1042,1,7,14,138,49,65,992,3090,12,2254,2,0.9598,30,46.0000,MIN-MAX,460,v1,7.00,49.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1042,2,8,7,1008,47,84,1539,9246,12,6768,4,0.9786,30,144.0000,MIN-MAX,2160,v1,7.00,47.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1042,3,9,14,860,53,22,1231,13095,12,9116,3,0.9217,30,172.0000,PERIODIC,2408,v1,7.00,53.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1043,1,4,30,850,34,25,1221,7882,12,5780,2,0.9747,30,170.0000,PERIODIC,1530,v1,7.00,34.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1043,2,14,14,512,55,37,629,9960,12,7040,4,0.9033,30,128.0000,MIN-MAX,2304,v1,7.00,55.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1043,3,15,7,63,40,59,1555,1108,12,840,5,0.9426,30,21.0000,MIN-MAX,378,v1,7.00,40.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1044,1,6,14,875,57,26,1842,12963,12,9975,1,0.9719,30,175.0000,ROP,1925,v1,7.00,57.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1044,2,14,14,672,40,43,1516,6306,12,4480,3,0.9832,30,112.0000,PERIODIC,2240,v1,7.00,40.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1044,3,15,7,468,32,75,1733,3740,12,2496,2,0.9491,30,78.0000,ROP,1638,v1,7.00,32.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1045,1,4,14,180,39,77,1734,1987,12,1404,2,0.9621,30,36.0000,ROP,324,v1,7.00,39.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1045,2,3,30,620,49,75,1062,8456,12,6076,1,0.9068,30,124.0000,PERIODIC,992,v1,7.00,49.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1045,3,8,30,452,60,23,792,9862,12,6780,4,0.9031,30,113.0000,MIN-MAX,1356,v1,7.00,60.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1046,1,15,30,350,41,69,1661,3471,12,2870,2,0.9611,30,70.0000,ROP,1400,v1,7.00,41.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1046,2,10,7,735,34,87,1251,4710,12,3570,3,0.9225,30,105.0000,MIN-MAX,1785,v1,7.00,34.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1046,3,14,7,96,46,69,1650,909,12,736,3,0.9634,30,16.0000,MIN-MAX,320,v1,7.00,46.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1047,1,7,30,996,36,35,777,8700,12,5976,4,0.9155,30,166.0000,PERIODIC,2158,v1,7.00,36.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1047,2,4,30,615,51,64,1953,7649,12,6273,5,0.9261,30,123.0000,ROP,1107,v1,7.00,51.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1047,3,14,30,200,55,66,1541,3484,12,2750,2,0.9713,30,50.0000,MIN-MAX,900,v1,7.00,55.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1048,1,3,14,952,48,67,1457,9407,12,6528,5,0.9117,30,136.0000,MIN-MAX,1360,v1,7.00,48.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1048,2,7,14,156,46,72,1338,1730,12,1196,1,0.9113,30,26.0000,ROP,338,v1,7.00,46.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1048,3,4,14,1044,51,86,1205,10990,12,8874,5,0.9576,30,174.0000,MIN-MAX,1740,v1,7.00,51.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1049,1,9,30,129,56,35,1561,3000,12,2408,2,0.9146,30,43.0000,PERIODIC,516,v1,7.00,56.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1049,2,8,30,335,57,30,1013,4807,12,3819,5,0.9247,30,67.0000,PERIODIC,871,v1,7.00,57.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1049,3,12,30,261,46,41,1712,5932,12,4002,2,0.9154,30,87.0000,PERIODIC,1305,v1,7.00,46.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1050,1,12,14,1358,31,23,666,7298,12,6014,5,0.9238,30,194.0000,MIN-MAX,3686,v1,7.00,31.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1050,2,9,30,468,45,100,1617,9034,12,7020,3,0.9435,30,156.0000,PERIODIC,1872,v1,7.00,45.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1050,3,7,14,339,52,27,823,7826,12,5876,4,0.9418,30,113.0000,ROP,1130,v1,7.00,52.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
