snapshot_id,snapshot_time,sku_id,warehouse_id,on_hand_qty,locked_qty,available_qty,in_transit_qty,reserved_qty,damaged_qty,frozen_qty,data_source,etl_time,dt
82,"2026-09-04 08:00:00",1028,1,9495,1118,8377,99,17,2,6,manual,"2026-09-04 12:34:54",2026-09-04
83,"2026-09-04 08:00:00",1028,2,1716,222,1494,185,2,4,5,oms,"2026-09-04 12:34:54",2026-09-04
84,"2026-09-04 08:00:00",1028,3,2372,161,2211,19,10,4,9,manual,"2026-09-04 12:34:54",2026-09-04
85,"2026-09-04 08:00:00",1029,1,1852,209,1643,7,20,2,7,wms,"2026-09-04 12:34:54",2026-09-04
86,"2026-09-04 08:00:00",1029,2,360,34,326,96,13,1,10,manual,"2026-09-04 12:34:54",2026-09-04
87,"2026-09-04 08:00:00",1029,3,122,6,116,158,9,1,1,oms,"2026-09-04 12:34:54",2026-09-04
88,"2026-09-04 08:00:00",1030,1,4944,399,4545,200,20,1,6,wms,"2026-09-04 12:34:54",2026-09-04
89,"2026-09-04 08:00:00",1030,2,3891,217,3674,78,14,2,4,oms,"2026-09-04 12:34:54",2026-09-04
90,"2026-09-04 08:00:00",1030,3,773,49,724,114,17,4,8,wms,"2026-09-04 12:34:54",2026-09-04
91,"2026-09-04 08:00:00",1031,1,1821,101,1720,141,2,4,9,wms,"2026-09-04 12:34:54",2026-09-04
92,"2026-09-04 08:00:00",1031,2,363,17,346,105,12,0,8,oms,"2026-09-04 12:34:54",2026-09-04
93,"2026-09-04 08:00:00",1031,3,1484,93,1391,97,5,1,4,wms,"2026-09-04 12:34:54",2026-09-04
94,"2026-09-04 08:00:00",1032,1,6140,372,5768,42,13,2,6,wms,"2026-09-04 12:34:54",2026-09-04
95,"2026-09-04 08:00:00",1032,2,2599,141,2458,64,7,5,10,wms,"2026-09-04 12:34:54",2026-09-04
96,"2026-09-04 08:00:00",1032,3,4771,310,4461,27,4,2,0,wms,"2026-09-04 12:34:54",2026-09-04
97,"2026-09-04 08:00:00",1033,1,4571,460,4111,84,14,2,6,manual,"2026-09-04 12:34:54",2026-09-04
98,"2026-09-04 08:00:00",1033,2,11512,688,10824,82,19,5,3,wms,"2026-09-04 12:34:54",2026-09-04
99,"2026-09-04 08:00:00",1033,3,1767,225,1542,81,9,5,10,wms,"2026-09-04 12:34:54",2026-09-04
100,"2026-09-04 08:00:00",1034,1,349,39,310,83,12,2,6,wms,"2026-09-04 12:34:54",2026-09-04
101,"2026-09-04 08:00:00",1034,2,68,6,62,151,17,1,10,manual,"2026-09-04 12:34:54",2026-09-04
102,"2026-09-04 08:00:00",1034,3,1589,173,1416,181,6,3,4,manual,"2026-09-04 12:34:54",2026-09-04
103,"2026-09-04 08:00:00",1035,1,27,3,24,104,15,1,10,wms,"2026-09-04 12:34:54",2026-09-04
104,"2026-09-04 08:00:00",1035,2,8055,836,7219,183,13,3,1,wms,"2026-09-04 12:34:54",2026-09-04
105,"2026-09-04 08:00:00",1035,3,19349,1725,17624,102,17,4,6,manual,"2026-09-04 12:34:54",2026-09-04
106,"2026-09-04 08:00:00",1036,1,279,35,244,179,17,4,10,oms,"2026-09-04 12:34:54",2026-09-04
107,"2026-09-04 08:00:00",1036,2,643,44,599,170,11,1,10,manual,"2026-09-04 12:34:54",2026-09-04
108,"2026-09-04 08:00:00",1036,3,991,128,863,173,20,3,5,wms,"2026-09-04 12:34:54",2026-09-04
109,"2026-09-04 08:00:00",1037,1,44,2,42,56,16,5,8,manual,"2026-09-04 12:34:54",2026-09-04
110,"2026-09-04 08:00:00",1037,2,3202,310,2892,114,11,3,7,manual,"2026-09-04 12:34:54",2026-09-04
111,"2026-09-04 08:00:00",1037,3,5510,501,5009,88,0,3,1,wms,"2026-09-04 12:34:54",2026-09-04
112,"2026-09-04 08:00:00",1038,1,3705,472,3233,29,4,2,4,wms,"2026-09-04 12:34:54",2026-09-04
113,"2026-09-04 08:00:00",1038,2,74,4,70,123,11,3,1,wms,"2026-09-04 12:34:54",2026-09-04
114,"2026-09-04 08:00:00",1038,3,1189,103,1086,17,9,0,1,oms,"2026-09-04 12:34:54",2026-09-04
115,"2026-09-04 08:00:00",1039,1,1478,152,1326,173,5,5,3,manual,"2026-09-04 12:34:54",2026-09-04
116,"2026-09-04 08:00:00",1039,2,2042,126,1916,143,13,3,3,wms,"2026-09-04 12:34:54",2026-09-04
117,"2026-09-04 08:00:00",1039,3,528,33,495,168,13,3,0,manual,"2026-09-04 12:34:54",2026-09-04
118,"2026-09-04 08:00:00",1040,1,204,13,191,151,13,3,0,manual,"2026-09-04 12:34:54",2026-09-04
119,"2026-09-04 08:00:00",1040,2,292,21,271,180,2,4,1,manual,"2026-09-04 12:34:54",2026-09-04
120,"2026-09-04 08:00:00",1040,3,4739,361,4378,117,3,2,10,wms,"2026-09-04 12:34:54",2026-09-04
121,"2026-09-04 08:00:00",1041,1,6419,656,5763,152,12,4,6,manual,"2026-09-04 12:34:54",2026-09-04
122,"2026-09-04 08:00:00",1041,2,2312,181,2131,117,19,1,10,manual,"2026-09-04 12:34:54",2026-09-04
123,"2026-09-04 08:00:00",1041,3,20883,2594,18289,151,2,5,2,wms,"2026-09-04 12:34:54",2026-09-04
124,"2026-09-04 08:00:00",1042,1,52,3,49,46,11,5,2,manual,"2026-09-04 12:34:54",2026-09-04
125,"2026-09-04 08:00:00",1042,2,552,54,498,147,12,3,2,wms,"2026-09-04 12:34:54",2026-09-04
126,"2026-09-04 08:00:00",1042,3,594,63,531,165,5,4,2,wms,"2026-09-04 12:34:54",2026-09-04
127,"2026-09-04 08:00:00",1043,1,5654,363,5291,115,19,0,5,oms,"2026-09-04 12:34:54",2026-09-04
128,"2026-09-04 08:00:00",1043,2,13781,895,12886,98,17,4,10,wms,"2026-09-04 12:34:54",2026-09-04
129,"2026-09-04 08:00:00",1043,3,474,42,432,181,14,3,2,oms,"2026-09-04 12:34:54",2026-09-04
130,"2026-09-04 08:00:00",1044,1,11561,1326,10235,56,9,0,4,oms,"2026-09-04 12:34:54",2026-09-04
131,"2026-09-04 08:00:00",1044,2,8846,554,8292,117,18,5,7,manual,"2026-09-04 12:34:54",2026-09-04
132,"2026-09-04 08:00:00",1044,3,2077,201,1876,68,17,2,8,oms,"2026-09-04 12:34:54",2026-09-04
133,"2026-09-04 08:00:00",1045,1,3051,262,2789,55,13,0,10,oms,"2026-09-04 12:34:54",2026-09-04
134,"2026-09-04 08:00:00",1045,2,11853,1545,10308,115,8,2,1,wms,"2026-09-04 12:34:54",2026-09-04
135,"2026-09-04 08:00:00",1045,3,8249,479,7770,60,6,5,9,manual,"2026-09-04 12:34:54",2026-09-04
136,"2026-09-04 08:00:00",1046,1,186,20,166,161,13,1,9,oms,"2026-09-04 12:34:54",2026-09-04
137,"2026-09-04 08:00:00",1046,2,4498,522,3976,15,18,2,8,wms,"2026-09-04 12:34:54",2026-09-04
138,"2026-09-04 08:00:00",1046,3,347,21,326,180,9,2,9,wms,"2026-09-04 12:34:54",2026-09-04
139,"2026-09-04 08:00:00",1047,1,14190,1306,12884,173,3,1,6,oms,"2026-09-04 12:34:54",2026-09-04
140,"2026-09-04 08:00:00",1047,2,1382,166,1216,32,4,1,2,manual,"2026-09-04 12:34:54",2026-09-04
141,"2026-09-04 08:00:00",1047,3,1087,75,1012,173,12,3,2,manual,"2026-09-04 12:34:54",2026-09-04
142,"2026-09-04 08:00:00",1048,1,2018,204,1814,96,14,0,10,oms,"2026-09-04 12:34:54",2026-09-04
143,"2026-09-04 08:00:00",1048,2,372,41,331,177,11,3,7,wms,"2026-09-04 12:34:54",2026-09-04
144,"2026-09-04 08:00:00",1048,3,16652,2005,14647,187,2,5,7,manual,"2026-09-04 12:34:54",2026-09-04
145,"2026-09-04 08:00:00",1049,1,2786,220,2566,16,17,3,3,wms,"2026-09-04 12:34:54",2026-09-04
146,"2026-09-04 08:00:00",1049,2,1254,113,1141,82,9,2,8,manual,"2026-09-04 12:34:54",2026-09-04
147,"2026-09-04 08:00:00",1049,3,3871,461,3410,87,1,0,1,manual,"2026-09-04 12:34:54",2026-09-04
148,"2026-09-04 08:00:00",1050,1,4268,373,3895,31,5,3,7,oms,"2026-09-04 12:34:54",2026-09-04
149,"2026-09-04 08:00:00",1050,2,406,34,372,176,4,5,4,oms,"2026-09-04 12:34:54",2026-09-04
150,"2026-09-04 08:00:00",1050,3,1381,167,1214,23,20,2,4,oms,"2026-09-04 12:34:54",2026-09-04
