sku_id,warehouse_id,sku_name,region,address,SKU销量分级,SKU健康度,SKU补货优先级,Pur_adv_qty,avl_qty,stock_avl_days,sku_avg_sales,avl_qty,on_way_qty,turnover_days,stock_age_days
1009,1,奥利奥饼干116g*24盒,华东,上海市嘉定区,1畅销品,2缺货预警,2第2优先级,8424.00,3137,17.14,183.00,3137,151,17,104
1001,3,农夫山泉550ml*12瓶,华北,天津市武清区,1畅销品,2缺货预警,2第2优先级,5833.28,4058,22.97,176.63,4058,0,42,29
1028,3,舒客牙膏120g*12支,华北,天津市武清区,1畅销品,2缺货预警,2第2优先级,9158.47,2202,13.06,168.63,2202,275,12,155
1050,1,西王玉米油5L*4桶,华东,上海市嘉定区,1畅销品,2缺货预警,2第2优先级,4423.40,3888,22.18,175.30,3888,103,20,133
1012,2,潘婷洗发水750ml,华南,广州市黄埔区,1畅销品,2缺货预警,2第2优先级,4670.80,3038,17.34,175.20,3038,0,32,163
1050,3,西王玉米油5L*4桶,华北,天津市武清区,2正常品,2缺货预警,2第2优先级,5812.61,1210,10.85,111.47,1210,0,10,106
1039,2,白猫洗洁精1.5kg*6瓶,华南,广州市黄埔区,2正常品,2缺货预警,2第2优先级,3043.60,1913,25.47,75.10,1913,0,46,10
1030,3,百雀羚面霜50g*12瓶,华北,天津市武清区,2正常品,2缺货预警,2第2优先级,1382.50,716,17.06,41.97,716,0,16,156
1033,3,旺旺雪饼520g*12袋,华北,天津市武清区,2正常品,2缺货预警,2第2优先级,3143.00,1532,18.02,85.00,1532,0,17,110
1013,3,舒肤佳香皂115g*72块,华北,天津市武清区,2正常品,2缺货预警,2第2优先级,3167.46,1523,23.05,66.07,1523,463,59,59
1034,3,盼盼小面包400g*10袋,华北,天津市武清区,2正常品,2缺货预警,2第2优先级,3767.80,1412,16.36,86.33,1412,0,15,1
1048,1,厨邦酱油410ml*12瓶,华东,上海市嘉定区,2正常品,2缺货预警,2第2优先级,5067.20,1804,14.70,122.70,1804,0,45,177
1014,3,蓝月亮洗衣液3kg*4桶,华北,天津市武清区,2正常品,2缺货预警,2第2优先级,5889.82,1751,15.12,115.77,1751,0,13,79
1026,2,汰渍洗衣粉2kg*6袋,华南,广州市黄埔区,2正常品,2缺货预警,2第2优先级,2165.50,971,15.79,61.50,971,0,14,48
1036,2,洁柔卷纸4层*27卷,华南,广州市黄埔区,2正常品,2缺货预警,2第2优先级,1603.63,589,12.24,48.13,589,262,12,136
1011,1,海飞丝去屑洗发水750ml,华东,上海市嘉定区,2正常品,2缺货预警,2第2优先级,1185.13,665,13.87,47.93,665,115,35,161
1016,1,红牛维生素饮料250ml*24罐,华东,上海市嘉定区,2正常品,2缺货预警,2第2优先级,1878.90,383,11.11,34.47,383,151,12,32
1047,2,恒顺香醋500ml*12瓶,华南,广州市黄埔区,2正常品,2缺货预警,2第2优先级,4646.00,1214,11.23,108.10,1214,626,10,174
1039,1,白猫洗洁精1.5kg*6瓶,华东,上海市嘉定区,2正常品,2缺货预警,2第2优先级,3980.50,1323,12.47,106.07,1323,0,10,158
1008,3,统一老坛酸菜面*24,华北,天津市武清区,2正常品,2缺货预警,2第2优先级,3991.73,2287,22.22,102.93,2287,0,17,73
1022,3,福临门大米5kg*10袋,华北,天津市武清区,2正常品,2缺货预警,2第2优先级,6229.80,2475,20.47,120.90,2475,0,18,31
1022,2,福临门大米5kg*10袋,华南,广州市黄埔区,2正常品,2缺货预警,2第2优先级,6006.80,1339,11.48,116.60,1339,0,53,177
1010,2,乐事薯片70g*24袋,华南,广州市黄埔区,2正常品,2缺货预警,2第2优先级,2035.42,727,19.47,37.33,727,0,17,83
1018,3,元气森林气泡水480ml*15瓶,华北,天津市武清区,2正常品,2缺货预警,2第2优先级,4001.30,1888,21.48,87.90,1888,0,53,102
1009,3,奥利奥饼干116g*24盒,华北,天津市武清区,2正常品,2缺货预警,2第2优先级,1879.65,675,11.89,56.77,675,0,12,6
1041,2,大宝SOD蜜100ml*12瓶,华南,广州市黄埔区,2正常品,2缺货预警,2第2优先级,7330.20,2121,14.81,143.20,2121,0,13,107
1010,1,乐事薯片70g*24袋,华东,上海市嘉定区,2正常品,2缺货预警,2第2优先级,1925.97,813,11.58,70.23,813,0,12,17
1021,1,金龙鱼食用油5L*4桶,华东,上海市嘉定区,2正常品,2缺货预警,2第2优先级,6126.68,2145,15.12,141.87,2145,808,14,180
1006,2,伊利安慕希205g*12盒,华南,广州市黄埔区,2正常品,2缺货预警,2第2优先级,8276.64,1837,12.35,148.73,1837,0,10,146
1038,2,绿伞洗衣液2kg*6瓶,华南,广州市黄埔区,3滞销品,1紧急补货预警,2第2优先级,805.00,69,3.54,19.47,69,0,4,3
1007,2,康师傅红烧牛肉面袋装*24,华南,广州市黄埔区,1畅销品,3需关注,3第3优先级,5341.54,4000,26.55,150.67,4000,0,42,26
1024,1,维达卷纸4层*27卷,华东,上海市嘉定区,1畅销品,3需关注,3第3优先级,3798.10,2561,16.51,155.10,2561,0,33,171
1020,1,良品铺子猪肉脯200g*20袋,华东,上海市嘉定区,1畅销品,5滞销预警,3第3优先级,94.00,8959,57.83,154.93,8959,279,42,174
1021,3,金龙鱼食用油5L*4桶,华北,天津市武清区,1畅销品,5滞销预警,3第3优先级,1508.00,9681,57.97,167.00,9681,0,49,163
1041,3,大宝SOD蜜100ml*12瓶,华北,天津市武清区,1畅销品,5滞销预警,3第3优先级,83.00,18287,103.65,176.43,18287,0,108,165
1004,1,百事可乐330ml*24罐,华东,上海市嘉定区,1畅销品,5滞销预警,3第3优先级,79.00,18600,110.10,168.93,18600,0,100,86
1027,1,奥妙洗衣液2kg*6瓶,华东,上海市嘉定区,1畅销品,5滞销预警,3第3优先级,78.00,13746,75.47,182.13,13746,0,68,15
1035,3,清风抽纸3层*24包,华北,天津市武清区,1畅销品,5滞销预警,3第3优先级,84.00,17618,105.71,166.67,17618,574,100,29
1047,1,恒顺香醋500ml*12瓶,华东,上海市嘉定区,1畅销品,5滞销预警,3第3优先级,35.00,12878,84.61,152.20,12878,0,77,164
1015,2,立白洗洁精1.5kg*6瓶,华南,广州市黄埔区,1畅销品,5滞销预警,3第3优先级,90.00,12851,81.37,157.93,12851,0,80,80
1008,2,统一老坛酸菜面*24,华南,广州市黄埔区,1畅销品,5滞销预警,3第3优先级,50.00,9372,61.54,152.30,9372,0,64,124
1020,3,良品铺子猪肉脯200g*20袋,华北,天津市武清区,2正常品,3需关注,3第3优先级,4729.29,3021,22.22,135.97,3021,0,41,119
1038,3,绿伞洗衣液2kg*6瓶,华北,天津市武清区,2正常品,3需关注,3第3优先级,1629.87,1085,21.84,49.67,1085,315,43,94
1044,3,李锦记蚝油700g*12瓶,华北,天津市武清区,2正常品,3需关注,3第3优先级,1802.10,1868,24.94,74.90,1868,0,30,102
1047,3,恒顺香醋500ml*12瓶,华北,天津市武清区,2正常品,3需关注,3第3优先级,1788.07,1010,22.36,45.17,1010,409,52,9
1026,3,汰渍洗衣粉2kg*6袋,华北,天津市武清区,2正常品,3需关注,3第3优先级,1036.20,495,18.75,26.40,495,0,43,36
1003,2,可口可乐330ml*24罐,华南,广州市黄埔区,2正常品,3需关注,3第3优先级,6744.00,2382,18.47,129.00,2382,291,62,83
1027,2,奥妙洗衣液2kg*6瓶,华南,广州市黄埔区,2正常品,3需关注,3第3优先级,4614.84,2364,23.03,102.63,2364,0,51,2
1007,3,康师傅红烧牛肉面袋装*24,华北,天津市武清区,2正常品,3需关注,3第3优先级,2823.00,1484,20.33,73.00,1484,0,47,30
1005,1,蒙牛纯牛奶250ml*24盒,华东,上海市嘉定区,2正常品,3需关注,3第3优先级,2939.00,1590,12.29,129.40,1590,0,30,169
1048,2,厨邦酱油410ml*12瓶,华南,广州市黄埔区,2正常品,3需关注,3第3优先级,779.22,324,15.86,20.43,324,0,12,52
1029,2,云南白药牙膏180g*6支,华南,广州市黄埔区,2正常品,3需关注,3第3优先级,722.50,316,15.21,20.77,316,0,39,123
1006,1,伊利安慕希205g*12盒,华东,上海市嘉定区,2正常品,3需关注,3第3优先级,5917.48,2221,15.28,145.33,2221,0,49,44
1013,1,舒肤佳香皂115g*72块,华东,上海市嘉定区,2正常品,3需关注,3第3优先级,5669.66,3502,23.67,147.93,3502,0,44,132
1031,3,达利园软面包360g*12袋,华北,天津市武清区,2正常品,3需关注,3第3优先级,2789.59,1387,19.83,69.93,1387,229,14,130
1049,2,鲁花花生油5L*4桶,华南,广州市黄埔区,2正常品,3需关注,3第3优先级,3132.10,1133,18.60,60.93,1133,0,58,133
1031,3,达利园软面包360g*12袋,华北,天津市武清区,2正常品,3需关注,3第3优先级,2749.59,1387,19.83,69.93,1387,269,14,130
1012,1,潘婷洗发水750ml,华东,上海市嘉定区,2正常品,5滞销预警,3第3优先级,77.00,12401,85.29,145.40,12401,177,82,127
1045,1,老干妈辣椒酱210g*24瓶,华东,上海市嘉定区,2正常品,5滞销预警,3第3优先级,77.00,2779,81.81,33.97,2779,0,77,5
1024,2,维达卷纸4层*27卷,华南,广州市黄埔区,2正常品,5滞销预警,3第3优先级,89.00,3400,89.78,37.87,3400,584,79,2
1032,3,好吃点饼干108g*24盒,华北,天津市武清区,2正常品,5滞销预警,3第3优先级,222.50,4461,47.62,93.67,4461,0,47,55
1033,2,旺旺雪饼520g*12袋,华南,广州市黄埔区,2正常品,5滞销预警,3第3优先级,33.00,10821,88.19,122.70,10821,0,88,96
1002,2,怡宝纯净水350ml*24瓶,华南,广州市黄埔区,2正常品,5滞销预警,3第3优先级,1445.20,6863,49.56,138.47,6863,0,47,20
1049,1,鲁花花生油5L*4桶,华东,上海市嘉定区,2正常品,5滞销预警,3第3优先级,85.51,2563,64.84,39.53,2563,0,59,45
1029,1,云南白药牙膏180g*6支,华东,上海市嘉定区,2正常品,5滞销预警,3第3优先级,35.00,1636,68.94,23.73,1636,0,63,51
1048,3,厨邦酱油410ml*12瓶,华北,天津市武清区,2正常品,5滞销预警,3第3优先级,86.00,14640,98.47,148.67,14640,0,85,118
1043,2,海天酱油500ml*12瓶,华南,广州市黄埔区,2正常品,5滞销预警,3第3优先级,37.00,12876,107.96,119.27,12876,0,100,35
1014,1,蓝月亮洗衣液3kg*4桶,华东,上海市嘉定区,2正常品,5滞销预警,3第3优先级,55.00,17079,161.43,105.80,17079,0,134,140
1001,2,农夫山泉550ml*12瓶,华南,广州市黄埔区,2正常品,5滞销预警,3第3优先级,26.00,8379,75.71,110.67,8379,0,70,138
1014,2,蓝月亮洗衣液3kg*4桶,华南,广州市黄埔区,2正常品,5滞销预警,3第3优先级,61.00,2432,77.38,31.43,2432,0,77,33
1037,2,威猛先生洁厕液500ml*12瓶,华南,广州市黄埔区,2正常品,5滞销预警,3第3优先级,62.00,2885,97.90,29.47,2885,106,89,166
1037,3,威猛先生洁厕液500ml*12瓶,华北,天津市武清区,2正常品,5滞销预警,3第3优先级,911.65,5008,46.53,107.63,5008,0,39,98
1008,1,统一老坛酸菜面*24,华东,上海市嘉定区,2正常品,5滞销预警,3第3优先级,86.90,3362,68.24,49.27,3362,0,54,157
1024,2,维达卷纸4层*27卷,华南,广州市黄埔区,2正常品,5滞销预警,3第3优先级,89.00,3400,89.78,37.87,3400,264,79,2
1015,1,立白洗洁精1.5kg*6瓶,华东,上海市嘉定区,2正常品,5滞销预警,3第3优先级,72.00,8011,74.09,108.13,8011,0,71,111
1016,2,红牛维生素饮料250ml*24罐,华南,广州市黄埔区,2正常品,5滞销预警,3第3优先级,81.00,11904,94.03,126.60,11904,0,85,151
1010,3,乐事薯片70g*24袋,华北,天津市武清区,2正常品,5滞销预警,3第3优先级,174.64,1303,59.96,21.73,1303,0,54,154
1019,3,三只松鼠坚果750g*10袋,华北,天津市武清区,2正常品,5滞销预警,3第3优先级,55.72,3316,43.27,76.63,3316,0,33,47
1017,2,脉动维生素饮料600ml*15瓶,华南,广州市黄埔区,2正常品,5滞销预警,3第3优先级,89.00,12204,91.10,133.97,12204,0,80,122
1002,3,怡宝纯净水350ml*24瓶,华北,天津市武清区,2正常品,5滞销预警,3第3优先级,39.00,2056,81.17,25.33,2056,0,68,139
1045,3,老干妈辣椒酱210g*24瓶,华北,天津市武清区,2正常品,5滞销预警,3第3优先级,23.00,7761,79.33,97.83,7761,0,59,26
1019,2,三只松鼠坚果750g*10袋,华南,广州市黄埔区,2正常品,5滞销预警,3第3优先级,41.00,2193,77.85,28.17,2193,0,67,89
1045,2,老干妈辣椒酱210g*24瓶,华南,广州市黄埔区,2正常品,5滞销预警,3第3优先级,75.00,10307,88.19,116.87,10307,0,84,2
1006,3,伊利安慕希205g*12盒,华北,天津市武清区,2正常品,5滞销预警,3第3优先级,84.00,9024,64.55,139.80,9024,0,61,156
1044,2,李锦记蚝油700g*12瓶,华南,广州市黄埔区,2正常品,5滞销预警,3第3优先级,43.00,8285,79.92,103.67,8285,0,71,137
1046,3,太太乐鸡精200g*20袋,华北,天津市武清区,3滞销品,2缺货预警,3第3优先级,655.09,317,20.54,15.43,317,0,20,153
1026,1,汰渍洗衣粉2kg*6袋,华东,上海市嘉定区,3滞销品,2缺货预警,3第3优先级,52.00,107,11.59,9.23,107,669,10,119
1043,3,海天酱油500ml*12瓶,华北,天津市武清区,3滞销品,2缺货预警,3第3优先级,704.00,430,22.75,18.90,430,0,41,151
1001,1,农夫山泉550ml*12瓶,华东,上海市嘉定区,1畅销品,4库存正常,正常运转,3652.86,6246,36.60,170.67,6246,0,47,29
1044,1,李锦记蚝油700g*12瓶,华东,上海市嘉定区,1畅销品,4库存正常,正常运转,414.12,10231,61.51,166.33,10231,0,57,87
1019,1,三只松鼠坚果750g*10袋,华东,上海市嘉定区,1畅销品,4库存正常,正常运转,1736.64,5964,37.18,160.43,5964,0,31,64
1041,1,大宝SOD蜜100ml*12瓶,华东,上海市嘉定区,1畅销品,4库存正常,正常运转,2206.20,5757,30.36,189.60,5757,0,27,18
1005,3,蒙牛纯牛奶250ml*24盒,华北,天津市武清区,1畅销品,4库存正常,正常运转,973.80,9167,50.34,182.10,9167,421,47,33
1035,2,清风抽纸3层*24包,华南,广州市黄埔区,1畅销品,4库存正常,正常运转,729.33,7218,46.32,155.83,7218,0,45,133
1030,1,百雀羚面霜50g*12瓶,华东,上海市嘉定区,1畅销品,4库存正常,正常运转,2403.78,4539,30.07,150.93,4539,0,30,72
1032,1,好吃点饼干108g*24盒,华东,上海市嘉定区,1畅销品,4库存正常,正常运转,1528.00,5762,35.57,162.00,5762,0,38,70
1017,3,脉动维生素饮料600ml*15瓶,华北,天津市武清区,2正常品,4库存正常,正常运转,458.91,3751,60.82,61.67,3751,292,58,15
1018,1,元气森林气泡水480ml*15瓶,华东,上海市嘉定区,2正常品,4库存正常,正常运转,976.69,4808,46.40,103.63,4808,744,44,79
1040,3,六神花露水195ml*12瓶,华北,天津市武清区,2正常品,4库存正常,正常运转,615.30,4368,55.22,79.10,4368,0,55,30
1046,2,太太乐鸡精200g*20袋,华南,广州市黄埔区,2正常品,4库存正常,正常运转,857.49,3968,38.65,102.67,3968,0,36,119
1039,3,白猫洗洁精1.5kg*6瓶,华北,天津市武清区,2正常品,4库存正常,正常运转,830.53,495,22.78,21.73,495,0,45,174
1005,2,蒙牛纯牛奶250ml*24盒,华南,广州市黄埔区,2正常品,4库存正常,正常运转,402.50,2410,38.56,62.50,2410,0,33,180
1007,1,康师傅红烧牛肉面袋装*24,华东,上海市嘉定区,2正常品,4库存正常,正常运转,1578.55,5251,49.98,105.07,5251,0,52,166
1011,2,海飞丝去屑洗发水750ml,华南,广州市黄埔区,2正常品,4库存正常,正常运转,1818.31,1733,30.74,56.37,1733,0,40,172
1049,3,鲁花花生油5L*4桶,华北,天津市武清区,2正常品,4库存正常,正常运转,1464.80,3409,41.97,81.23,3409,0,46,153
1004,3,百事可乐330ml*24罐,华北,天津市武清区,2正常品,4库存正常,正常运转,233.50,3128,41.20,75.93,3128,435,41,20
1040,2,六神花露水195ml*12瓶,华南,广州市黄埔区,3滞销品,3需关注,正常运转,542.00,270,18.62,14.50,270,0,45,168
1023,3,心相印抽纸3层*24包,华北,天津市武清区,3滞销品,3需关注,正常运转,384.50,295,23.60,12.50,295,258,60,99
1020,2,良品铺子猪肉脯200g*20袋,华南,广州市黄埔区,3滞销品,4库存正常,正常运转,449.37,291,27.12,10.73,291,0,49,160
